customer_id,profile,label,theft_type,mean_consumption,std_consumption,min_consumption,max_consumption,median_consumption,skewness,kurtosis,mean_daily_total,std_daily_total,cv_daily,night_day_ratio,weekend_weekday_ratio,peak_hour,zero_measurement_pct,zero_day_pct,sudden_change_ratio,trend_slope,q25,q75,iqr
0,residential,0,none,2.9675906639529286,1.744563272824632,0.4859205747861134,7.916640699186356,2.463139703030717,0.823985368713448,-0.3773911143080819,284.88870373948106,46.77369467788156,0.16418234173465798,0.11296873800882558,1.0606562891491387,20,0.0,0.0,0.047109207708779445,-0.6862381915659722,1.5446864002134748,4.184397324570945,2.63971092435747
1,residential,0,none,1.7309897657081865,1.0177233899588,0.27527671348102634,4.62021923225495,1.4356044898614266,0.8190955111939474,-0.37956172738988103,166.1750175079859,27.198370093769288,0.16367303784871978,0.11254941437727344,1.0603209131469966,20,0.0,0.0,0.04531512240291684,-0.4005235587608199,0.9010923602306106,2.4409435935898913,1.5398512333592809
2,industrial,0,none,39.300495004018266,6.8919170933396305,21.240456881410537,55.888308469558496,39.41874174684827,-0.15476714506488645,-0.7482117852305392,3772.847520385754,526.9581522408802,0.1396712030512514,0.33310912508270346,1.0013383159767881,18,0.0,0.0,0.008565310492505354,-9.110945019921816,34.28192261493133,44.72935391371029,10.447431298778959
3,commercial,0,none,3.264967998190728,3.2686173148741107,0.0,11.034843506377241,1.6585706408965097,1.0136310566660942,-0.6309748174981311,313.43692782630984,131.22782337168562,0.41867377868676453,0.09413217822180665,0.7632621625797857,14,0.010763888888888889,0.0,0.03171479831008739,-0.7282314439063828,1.0036670983167524,6.371578753046624,5.3679116547298715
4,residential,0,none,1.5677093433728055,0.9195665286618477,0.2789663602363658,4.200081699545475,1.3065954797671124,0.8167008074920219,-0.3778662378693465,150.50009696378936,24.790775161023763,0.1647226513233797,0.1125226431688532,1.05920479919432,20,0.0,0.0,0.04751432374558713,-0.3678263350415856,0.819783031406474,2.207620384973165,1.3878373535666908
5,residential,0,none,1.500128426794254,0.8805358405153315,0.2767437826814106,4.002457723697506,1.2429314444784718,0.8258814086398428,-0.3719594557837129,144.0123289722484,23.64206404146891,0.16416694352507735,0.11329307450973237,1.061267463232186,20,0.0,0.0,0.04734070258695526,-0.350807835130649,0.7853938167808949,2.112414134612944,1.3270203178320492
6,residential,0,none,1.5484929313564606,0.910838267981652,0.17847996419297033,4.191670232849977,1.2903773809831358,0.8159125138828462,-0.3741513634602196,148.6553214102202,24.34661528751737,0.16377896796948802,0.11261365667047224,1.0602912760681638,20,0.0,0.0,0.044273395451125644,-0.3598481191061681,0.8145449207127723,2.180309248301696,1.3657643275889235
7,residential,0,none,0.5066305891677167,0.29729904797008644,0.07104587069898015,1.3666169850309355,0.42046387266862856,0.818068002645259,-0.3784906362615228,48.63653656010081,7.987494849082194,0.16422827877523027,0.1130212305183567,1.0588036750942045,20,0.0,0.0,0.04502575380519706,-0.11700060866456853,0.2652501604668563,0.7134380073404543,0.448187846873598
8,industrial,0,none,47.16282751412804,8.268918733956095,26.333137839020953,65.58902206720705,47.333458500304886,-0.1658396773353557,-0.7322398338370477,4527.63144135629,634.0968988545055,0.1400504672095187,0.3341912557184118,1.0010599398702664,20,0.0,0.0,0.00625036171074715,-10.973929336039538,41.184158493494195,53.61089092604365,12.426732432549457
9,residential,0,none,2.2052143658994376,1.2941508009800229,0.3477650348521545,5.885278070146965,1.8349312829472257,0.8230981860231571,-0.3718987762301844,211.70057912634604,34.83886224756794,0.16456668293858992,0.11300022022078761,1.0570223580880622,20,0.0,0.0,0.0460096070374443,-0.5131635041465884,1.1480335024260835,3.104236576626606,1.9562030742005223
